# Pathway	A001_0_h_CD_1	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	BM	BS	C1_A301_Stool_0h	C2_A304_stool	CR	CS	CU_fresh	Coded	DA_fresh	HP	HY_fresh	LDC1	LDC6	LDC7	NE	S3_309_0h	S5_363_0h	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_025	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_062	SH_063	SH_064	SH_065	SH_066	SH_068	SH_069	SH_070	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_080	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_090	SH_091	SH_093	SH_094	SH_095	SH_096	SH_097	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_122	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_136	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_181	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_201	SH_203	SH_204	SH_205	SH_206	SH_207	SH_208	SH_209	SH_210	SH_211	SH_212	SH_214	SH_215	SH_216	SH_217	SH_227	SH_228	SH_230	SH_231	SH_232	SH_234	SH_235	SH_236	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_248	SH_250	SH_251	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
PWY-5686: UMP biosynthesis I	0.0121936	0.0139888	0.0138286	0.00501983	0.0147567	0.00736914	0.00350035	0.00765665	0.0125624	0.0156378	0.0128504	0.0147044	0.0137524	0.0154098	0.0136663	0.010562	0.0164914	0.0146135	0.0129396	0.016961	0.0128667	0.0105758	0.0148792	0.0136862	0.0146356	0.0123513	0.0131349	0.0137142	0.015986	0.010905	0.0059329	0.0136923	0.0181437	0.0151645	0.0121671	0.00607592	0.0131094	0.0183887	0.012303	0.0118218	0.0140623	0.0119598	0.0122476	0.0094805	0.00554029	0.012575	0.013344	0.0111691	0.00474909	0.0111469	0.0159924	0.0131773	0.0145685	0.0142899	0.00716231	0.00900916	0.0142735	0.0096683	0.0143022	0.0132426	0.00759977	0.0100649	0.0149789	0.0108713	0.0025229	0.014953	0.0151015	0.0128873	0.0128195	0.0189315	0.0127794	0.00649896	0.0126071	0.011363	0.0169867	0.0129332	0.0143022	0.0102332	0.0150743	0.00865001	0.0158707	0.00876954	0.0112841	0.0147581	0.0148146	0.0143178	0	0.0138477	0.0131766	0.0147946	0.0127602	0.0117402	0.0129609	0.0134378	0.011834	0.0122752	0.0131784	0.00960721	0.0164507	0.0141472	0.0130783	0.013414	0.0108264	0.013492	0.0118898	0.0147451	0.0123429	0.0143184	0.0173405	0.0116511	0.0137483	0.0119707	0.0137237	0.0105646	0.0136789	0.00907228	0.0104044	0.0115518	0.0128438	0.028115	0.0116993	0.0116705	0.00790653	0.012653	0.0154053	0.0134156	0.00703135	0.0148468	0.0139573	0.0103531	0.0138178	0.00511663	0.012073	0.0127216	0.0108855	0.0186194	0.00947364	0.00891377	0.00982636	0.0136592	0.0114396	0.0114308	0.0114021	0.0123913	0.0126458	0.00751331	0.0139883	0	0.0143295	0.0160762	0.0146275	0.0176416	0.0131378	0.0127649	0.0133025	0.0163575	0.00536789	0.00847081	0.00969134	0.0120415	0.0144746	0.0106414	0.00824146	0.0139118	0.0055951	0.0112494	0.0136036	0.0133242	0.0120381	0.00515479	0.0127421	0.0120976	0.0139999	0.0129137	0.00977768	0.0112798	0.0139741	0.0139945	0.0136298	0.0122091	0.0128395	0.008503	0.0144589	0.0094447	0.0137063	0.0127071	0.0112004	0.0111299	0.0126291	0.00826497	0	0.0131629	0.0123723	0.0145312	0.0149935	0.00872522	0.0125265
PWY-5690: TCA cycle II (plants and fungi)	0.000359593	0	0.000199257	0	0.000275314	7.18212e-05	0	0	0.000146818	0.000286199	0.000136604	6.17725e-05	0.000217568	0.000253647	0.000191636	0.000155525	0.000858565	0.000682486	6.89019e-05	0	8.06812e-05	0.000112712	0.000370823	0.000349377	0.000227471	2.45451e-05	0.000493887	0.000315297	0.000318831	0	0.000351583	0	0.000212436	0.00025325	0.000154467	0.000122255	9.29245e-05	0.000320146	3.92935e-05	0.000359125	0.000166068	0.000128257	0.000299778	0.00131778	0	0.000116819	9.97757e-05	0.000256874	0	0.000243609	7.43604e-05	8.25543e-05	9.65274e-05	0.000177491	4.88806e-05	0.000117001	0	0	0.000177763	0	0.000143378	0	0.000117335	8.31287e-05	0	0	0.000211599	0.000161012	6.26483e-05	0	0	0	0	9.45494e-05	0.000900172	0	0	0	3.55683e-05	0	0	2.65532e-05	0.000113438	0	1.97466e-05	2.37463e-05	0	0.00013799	6.65793e-05	0.000120889	4.65225e-05	0.000338071	3.13964e-05	0.00018481	0	0.000104034	0	2.25289e-05	2.69049e-05	0.000140248	0	0	5.83728e-05	0.000464524	0.000175902	5.36115e-05	0	0.000141108	1.97885e-05	6.26882e-05	0.000714034	0.000104135	8.52923e-05	4.26918e-05	0.000142981	0.000122	9.76347e-05	0	6.36574e-05	0	0	0.000205018	1.51918e-05	0.000288479	0	8.98388e-05	0.000124137	0.000500644	0.000278861	0	0	1.56711e-05	7.63084e-05	0.000433773	0	0	0.000131759	9.56441e-05	6.83737e-05	0.000226894	0.000111606	8.9658e-05	0	5.97043e-05	0	0	0.000191074	0	6.84764e-05	8.21109e-05	8.22775e-05	9.24361e-05	5.59907e-05	0.000176491	0	0.000210022	6.88263e-05	0	2.03541e-05	0	0	0	3.97021e-05	0.000452956	8.83887e-05	0	0.000111643	0.000701807	0.000496409	3.53597e-05	0.000158458	0.000212089	0.000136642	0.000285104	3.79257e-05	0	0.000154023	1.87419e-05	0.000786143	0.000117431	0	0.000136352	0.000169937	0.000213079	0.000243427	0.00011001	4.80068e-05	0.00016437	0.000147618	0	0	4.90396e-05	9.68524e-05	0	5.88326e-05	0	0.000185777
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	1.49467e-05	0	9.59418e-05	6.88757e-05	5.46837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.04082e-06	0	0	0	0	0	3.78223e-06	0	0.000214295	0.000179798	6.40339e-06	0	0	0	1.31913e-05	0	0	0	0	3.38462e-06	4.56423e-06	7.91882e-06	0	0.00019557	0	0	0	0	0	0	0	0	0	0.000326819	1.5607e-05	0	4.58549e-06	0	0	0.000213649	7.91412e-06	0	5.18114e-06	0.000349439	0	0	0	0	0	2.33269e-05	0.000502727	0	0	0	0	0	1.90793e-05	0	0	0	1.57682e-05	9.20733e-06	0	2.79746e-06	6.9471e-06	0	0	0	0	0	0	6.59928e-06	0	0	0	0	1.48438e-05	0	0	0	0	4.25387e-05	0	0	0	0	0	0	0	0	0	0	5.34652e-06	0	0	4.22019e-06	1.15105e-05	2.64674e-06	0	0	0	6.82255e-05	0	0	4.46094e-06	2.74097e-05	0	0	0	0	1.69568e-05	1.90275e-05	1.04368e-05	0	0	5.57521e-06	7.11331e-06	1.18961e-05	0	2.98482e-06	2.51172e-06	0	0	5.25258e-06	0	0	0	0	0	0	0	0	0	0	0	5.38543e-05	1.30677e-05	1.508e-05	0	0	0	1.5431e-05	0	2.50991e-05	1.13717e-05	0	0	1.09608e-05	0.000116592	0	0	0	0	6.32365e-06	0	0	0	0	0	0	0	0	6.70296e-06	0	0	0	1.9732e-05	0	3.82582e-05	0	9.75786e-06	0	0	0	0	0
PWY-5695: inosine 5'-phosphate degradation	0.00837128	0.00597004	0.00739503	0.00768658	0.00998694	0.00727488	0.00880514	0.00715932	0.0077422	0.0116788	0.00996709	0.00990823	0.0107655	0.0123119	0.00895044	0.00962946	0.00840579	0.0106518	0.00918671	0.0103906	0.00809998	0.00819104	0.0100694	0.00820062	0.00576513	0.00750734	0.00757434	0.00934225	0.00968756	0.00638583	0.0059774	0.00874806	0.0140541	0.0127277	0.00923651	0.00666237	0.00834063	0.0117134	0.0109087	0.0105283	0.00943269	0.0104406	0.00944031	0.00730596	0.00721256	0.0107961	0.0107511	0.0103073	0.00687993	0.00935411	0.00671862	0.0076422	0.00538951	0.0051114	0.00628137	0.00852852	0.00893448	0.009442	0.00992322	0.00973432	0.00725823	0.0101408	0.00865994	0.0108115	0.00886334	0.00904977	0.00601631	0.010222	0.00926003	0.0132457	0.00948955	0.00728157	0.0134248	0.0106938	0.0112319	0.00996792	0.0129147	0.00925382	0.0122964	0.00852769	0.0105759	0.0089489	0.010198	0.00982531	0.0128107	0.00814298	0	0.0105357	0.00971086	0.007286	0.0103506	0.00864263	0.00762263	0.00782261	0.00822244	0.00969922	0.00747938	0.00894356	0.00934954	0.0105052	0.00815932	0.0120062	0.0100254	0.00994043	0.00950019	0.00985439	0.0106633	0.00986635	0.0131811	0.010459	0.00700272	0.0109103	0.00778965	0.00740593	0.00746739	0.00969351	0.00810489	0.0101638	0.0108255	0.0165199	0.0105521	0.00991855	0.00805602	0.00760634	0.00480744	0.00710757	0.00669296	0.00948846	0.00847268	0.00891398	0.00972044	0.00743923	0.00953254	0.00927491	0.00992849	0.0119568	0.0084688	0.00880957	0.00874383	0.0114974	0.0106013	0.0103739	0.00622735	0.0106706	0.00590641	0.00827597	0.0123147	0	0.00668792	0.00624615	0.00448351	0.00489541	0.0105416	0.0111643	0.00764498	0.0113253	0.00695432	0.00852902	0.00962147	0.0100365	0.00861549	0.00945317	0.00870352	0.00919394	0.00616627	0.00961346	0.0099422	0.00697168	0.0100929	0.00823765	0.00825792	0.00973189	0.00937565	0.00874624	0.00856397	0.00991457	0.00937457	0.00702747	0.00841375	0.00879775	0.00814393	0.0081498	0.00882941	0.00888536	0.0110436	0.00845789	0.0108614	0.00811756	0.0103451	0.00932409	0	0.0101001	0.00998248	0.0120251	0.00897544	0.00870886	0.00948884
PWY-5705: allantoin degradation to glyoxylate III	0	0	0	0.000324641	0	0.000498746	0.000603696	0.000177527	9.12234e-06	0	0	0	0	0	0	0.000119274	0	0	0	0	0	8.70507e-05	0	0	1.77187e-05	0	0	4.11237e-05	0	0.000221823	0.000274145	8.35344e-05	0	0	0	0.000256175	1.70522e-05	0	5.01854e-05	0	8.36524e-05	8.27857e-06	4.26672e-05	0	0.000684061	0	0	2.89988e-05	0.000539714	0	0	0	0	0	0.00042444	0.0002034	1.81105e-05	0.000208423	0	3.59005e-05	0.000361372	0.000115744	0	4.08216e-05	0.00170544	0	0	2.29804e-06	1.87004e-05	0	5.27717e-05	0.000590715	0	0	0	0	0	0.00013642	0	0	0	0.000296147	3.88241e-05	0	4.60775e-05	7.57937e-05	0	0	1.67642e-06	0	0	6.10084e-05	2.95942e-05	5.32981e-06	0	0	8.24804e-05	0.000233758	0	0	0	0	0.00011663	0	0.000368133	0	0	0	0	0	0	0	0	0.000120995	1.34699e-05	0	0.000166148	3.21257e-05	1.15818e-05	0	0	0	9.96731e-05	0	0	0.000104718	0.000158178	0	0	0	0	0.000261262	9.10325e-05	1.76218e-05	0	0	0.000159112	0.000165343	0.000163407	0	2.79878e-05	2.86129e-05	0.00012105	3.3924e-05	1.3013e-05	0.000145703	0	0	6.52432e-05	0	0	0	1.7059e-05	2.50384e-05	3.91743e-05	3.06394e-06	0.000641876	4.30068e-05	4.89419e-05	0.000146132	0	7.22071e-05	0.000135219	4.09451e-05	0.000446081	5.79759e-05	0	1.51828e-05	1.19601e-05	0.000664391	4.94426e-06	0	0	3.17337e-05	0.000108398	0	0	0	5.1566e-06	8.48704e-06	0	9.12161e-06	0	0.000107567	0	3.83659e-05	0	6.97965e-05	0	0.000261489	0	4.0838e-05	0	0	3.63299e-06	0.000219968	6.92945e-06
PWY-5723: Rubisco shunt	2.83555e-05	0	0	0.00413893	0	0.00505383	0.00488614	0.00196563	0.000553762	0	0	0	0	0	0	0.00195386	0	0	0	0	8.02862e-05	0.000729065	0	1.93159e-05	0.000229737	8.08971e-06	0	0.000192044	6.07004e-05	0.000135759	0.00235005	0.000652339	0	8.9853e-05	0	0.00345848	7.53919e-05	0	0.000282821	1.01709e-05	0.000572228	0.000374106	0.000190804	0	0.00403567	0	0	0.000330365	0.00387507	0	1.70464e-05	0.000146791	0	0	0.00212652	0.00186631	8.79786e-05	0.00115923	0	0.000378242	0.00206254	0.000773133	8.28973e-05	0.000362945	0.00466043	0	8.66841e-05	5.65749e-05	0.00044116	0	0.000402607	0.00337417	0	3.29848e-05	4.7916e-05	0	0	0.00130487	0	0	0	0.00148862	0.000487515	0	0.00042433	0.000562238	0	0	6.11886e-05	1.55247e-05	1.29524e-05	0.000503205	0.000259014	0.000126741	0	0	0.000235627	0.00120506	0	0	0	0	0.000683852	0	0.00100994	0	0	0	7.92849e-05	0.000172731	4.31751e-05	0	0	0.000764824	0.000439832	0.000945876	0.00131431	0.000811607	1.50278e-05	0	0.000164286	4.23447e-05	0.00224991	1.21078e-05	0	0.000546961	0.00280409	0	0.000237714	3.94991e-05	3.15431e-05	0.00340192	0.000946808	0.000323234	0	0	0.00179477	0.00155137	0.00152951	2.64478e-05	0.000396446	0.000548653	0.00189381	1.03881e-05	0.000464415	0.0022539	2.05243e-05	0	0.000124895	3.88376e-05	0	0	1.14085e-05	1.55613e-05	8.74449e-05	5.58047e-05	0.00410865	0.0020864	0.000259229	0	0	0.000265821	0.00159936	2.85138e-05	0.00500735	0.000494005	7.72021e-05	0.000703642	4.05037e-05	0.00467818	0.000130224	0	0	0.000242621	0.0012636	8.24962e-05	0	5.46799e-05	0.000166406	8.48784e-05	5.77496e-05	0.00270946	0	0.00135212	3.23419e-05	0.000198736	0	0.00114284	0.000215608	0.00237583	0	0.000170277	0.000112205	0.000108678	9.15788e-05	0.00183407	0.000538888
PWY-5724: superpathway of atrazine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9679e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26959e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65025e-05	0	0	1.59141e-05	0	0	0	0	0	0	0	0	1.39382e-05	0	0	0	0	0	0	0	0	0	0	0	2.43755e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5747: 2-methylcitrate cycle II	1.02826e-05	2.40251e-05	0	0.000504111	0	0.000525012	0.00079447	2.47363e-05	6.76233e-05	0	0	0	0	0	0	0.000209385	0	0	0	0	0	4.1911e-05	0	0	1.33266e-05	0	0	3.05173e-06	0	0	0.000345246	5.86871e-05	0	0	0	0.000736861	2.89078e-06	0	1.03488e-05	0	3.19864e-05	7.18897e-05	5.00484e-05	0	0.000823947	0	0	2.91298e-05	0.000460339	0	0	0	0	0	0.000302363	2.55218e-05	1.43482e-05	7.65096e-05	0	1.95094e-05	0.00015343	6.92402e-05	1.18188e-05	2.36519e-05	0.00101312	0	1.15501e-05	2.28008e-06	4.63878e-05	0	1.11502e-05	0.000192155	0	0	0	0	0	8.34018e-05	0	0.000120838	0	0.00010865	4.40063e-05	0	2.73293e-05	6.39882e-05	0	0	3.98793e-06	0	0	5.06233e-05	3.19931e-05	3.21283e-05	0	0	8.93446e-06	8.96383e-05	0	0	0	4.4713e-05	4.5811e-05	0	0	0	0	0	0	4.29863e-05	0	0	0	5.75801e-05	2.70144e-05	9.19096e-05	9.51996e-05	2.96479e-05	1.02326e-05	0	0	2.0869e-05	0.000400777	0	0	3.28007e-05	0.0003225	7.75223e-06	8.09011e-06	0	0	0.000232313	3.92342e-05	4.46812e-05	6.90844e-06	0	0.000118284	0.000150241	0.000189718	0	3.80368e-05	3.88974e-05	0.000173682	1.43029e-05	1.06231e-05	0.000199957	0	0	2.43209e-05	0	0	0	0	0	4.51519e-06	1.15776e-05	0.000444125	6.12783e-05	3.32167e-05	0	0	1.19068e-05	0.000128399	0	0.000506697	4.19503e-05	0	3.17607e-06	0	0.000467198	0	0	0	3.43693e-06	4.1235e-05	0	0	0	0	3.87285e-06	8.96616e-06	0	0	0.000108656	0	8.16541e-06	0	0.000209747	2.23851e-05	0.000139185	0	1.28618e-05	2.23786e-06	0	0	0.000101336	0
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0.000367128	0	0.000268784	0.00181092	0.000190755	0.0011422	0.00163828	0.00175836	0.000315947	0	6.54679e-05	0	0	0	5.52039e-05	0.000716464	0	0	0	0	9.2926e-06	0.000357534	1.11187e-05	2.16043e-05	0.000162507	2.74309e-05	6.52349e-05	0.0001393	0	0.001021	0.00102049	0.000453449	1.91689e-05	0.000155397	0.000258278	0.00131023	3.62463e-05	0	0.000333545	0.000272177	0.000278546	0.000419334	0.000226402	0	0.00173359	0.00014559	0.000820475	0.000390524	0.00196519	5.30952e-05	8.55107e-05	0.000197742	0	0	0.00153171	0.000670102	0.00013266	0.000718135	0.0002391	0.000303586	0.00100861	0.000471292	0.000158502	0.000223909	0.00300878	0	0.000348744	0.000313726	0.000330603	0	0.000511879	0.00141781	0	0.000716907	0	0	3.0708e-05	0.000630928	1.32625e-05	0.0010416	0	0.000772685	0.000506692	0.000140199	0.000209501	0.000196996	0	0	2.87508e-05	0	1.6458e-05	0.000174213	0.000299934	0.000363317	0.000359529	9.89772e-05	0.000126253	0.00086774	4.14733e-05	0.000236511	0	0.000203512	0.000461146	7.38834e-05	0.000680513	0	0.000218506	0.000215757	0	0.000115184	3.38672e-05	0	0	0.000560618	0.000142455	0.000655413	0.00046762	0.000358129	4.4291e-05	0	0.000282544	0.000141527	0.00124851	0	0	0.00017373	0.00113672	4.42818e-05	0.000286839	2.6673e-05	4.52009e-05	0.0017379	0.000367657	0.000417695	0.000191395	0.00018263	0.000462308	0.000572941	0.000772452	9.11531e-05	0.000595902	0.000109237	0.000496897	0.000177257	5.93688e-05	0.0011156	4.87679e-05	0	0.000219333	8.71534e-05	0	0	8.37212e-05	7.35404e-05	7.94995e-05	0.000144131	0.00214209	0.00125169	0.000504897	0	0	8.29658e-05	0.000885966	8.20486e-05	0.0013498	0.00029912	0	0.000437172	0.000217114	0.00145008	0.000114815	7.57261e-05	0	0.000130465	0.000411295	9.58805e-05	8.17082e-05	5.98503e-05	4.43769e-05	5.21818e-05	0	0.000923346	0	0.000949249	6.10584e-05	0.000289566	0.000367176	0.000433863	0.000423799	0.000730499	0	0.000251881	1.63197e-05	0	2.97507e-05	0.000874744	0.000210324
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.000927136	0	0.000578842	0.00213764	0.00057216	0.00233994	0.00281285	0.00276759	0.000817932	0	0.000213714	0	0	0	0.000179019	0.0017818	0	0	0	0	3.13747e-05	0.000976405	3.78364e-05	7.11363e-05	0.000424782	7.82076e-05	0.000210786	0.000423137	0	0.00148527	0.00219673	0.00109555	6.47171e-05	0.000489382	0.000776504	0.00226942	0.00012286	0	0.00103829	0.000833384	0.000740811	0.00125984	0.000715242	0	0.00304037	0.000475015	0.00189739	0.00111383	0.0029922	0.000178212	0.000270505	0.000603744	0	0	0.00253178	0.00177333	0.000419974	0.00184256	0.000694351	0.000907111	0.00242134	0.00135017	0.000485711	0.000713622	0.00390588	0	0.000937316	0.000972385	0.000976988	0	0.00134446	0.00262394	0	0.00198008	0	0	0.000104136	0.00178381	4.51572e-05	0.00257536	0	0.00190828	0.00146481	0.000453654	0.000683477	0.00061711	0	0	9.71404e-05	0	5.59079e-05	0.000537091	0.00084315	0.000669668	0.00108358	0.000325043	0.000396835	0.00238316	0.000136939	0.000736415	0	0.000632117	0.00136525	0.00024524	0.00147259	0	0.000693911	0.000625633	0	0.00037632	0.000111875	0	0	0.00150524	0.000417606	0.00176657	0.00128631	0.00106304	0.000149644	0	0.000899669	0.000459095	0.00272514	0	0	0.000507495	0.00213532	0.000145832	0.000828577	9.02402e-05	0.000152004	0.00303347	0.00105941	0.000995868	0.00061549	0.000555077	0.00131746	0.0016033	0.00193627	0.000303863	0.00169585	0.000357846	0.00141152	0.000568857	0.000187471	0.00269681	0.00016054	0	0.000621329	0.000258335	0	0	0.00027479	0.000242383	0.000256205	0.000453284	0.00333594	0.00309823	0.000652939	0	0	0.000274343	0.0022379	0.000260646	0.00229918	0.00095543	0	0.00105525	0.000652672	0.00235329	0.000364807	0.000251135	0	0.000418358	0.00118834	0.000315556	0.000259525	0.000191788	0.000144756	0.000171798	0	0.00203642	0	0.00241241	0.000205455	0.000854453	0.00112324	0.00108389	0.00117439	0.0018397	0	0.000743961	5.56909e-05	0	9.40445e-05	0.00231257	0.000624649
PWY-5840: superpathway of menaquinol-7 biosynthesis	0.000844128	0	0.000350518	0.00216102	0.000555285	0.00189561	0.00263218	0.00168225	0.000674297	0	0.000207128	0	0	0	0.000178427	0.0013679	0	0	0	0	3.12752e-05	0.000957109	3.62941e-05	7.09213e-05	0.000413682	8.26667e-05	0.000198122	0.000200019	0	0.00127008	0.00179255	0.000432942	0	0.00048701	0.000654837	0.00150339	0.000121403	0	0.000485139	0.000585874	0.000648762	0.00048348	0.000621721	0	0.00271562	0.000259756	0.000205053	0.00061804	0.0025311	0.000169566	0.000244328	0.000594095	0	0	0.00192868	0.00116974	0.000399274	0.00162031	0.000432183	0.000676271	0.00142605	0.000470455	0.000475576	0.000461062	0.00357538	0	0.000953591	0.000479355	0.000862417	0	0.000424935	0.00237591	0	0.00127659	0	0	0.000101616	0.000797904	4.32441e-05	0.00155386	0	0.00177302	0.000808585	0.000431336	0.000414431	0.000526615	0	0	9.54345e-05	0	5.31633e-05	0.000472814	0.000692095	0.00085319	0	0	0.000385235	0.00174218	0.000134384	0.000715735	0	0.000630432	0.000912603	0.0001973	0.00129394	0	0.000686733	0.000402714	0	0.000185725	0.000108731	0	0	0.00138852	0.000408788	0.00106981	0.000708772	0.00092266	0.00014077	0	0.000817318	0.000427302	0.00226841	0	0	0.000373944	0.00191261	0.000111032	0.000560877	8.80363e-05	0.000150892	0.00277711	0.000823744	0.000358519	0.000558709	0.00017407	0.00107797	0.000994644	0.00160722	0.000281345	0.0009963	0.000321735	0.00127121	0.000312018	0.000164885	0.0020187	0.00014595	0	0.000559887	0.000219624	0	0	0.000260982	0.00023991	0.000252476	0.000299873	0.00289037	0.00264888	0.000626297	0	0	0.000218904	0.0015241	0.000259126	0.00217699	0.000401439	0	0.000972196	0.000628858	0.00211723	0.000363543	0.000205149	0	0.000320875	0.000778362	0.000296785	0.000262457	0.000191624	0.000117215	0.000171392	0	0.0017418	0	0.00187362	0.000192216	0.000681861	9.23587e-05	0.000634766	0.000967954	0.00152545	0	0.000530181	5.34328e-05	0	9.58591e-05	0.00152433	0.000491514
PWY-5845: superpathway of menaquinol-9 biosynthesis	0.000141704	0	0	0.00181667	0.000319822	0.00189561	0.00255588	0.00168225	0.000674297	0	0.000171627	0	0	0	0.000173811	0.0013679	0	0	0	0	2.80419e-05	0.000528646	0	0	0.000298034	0	0.000194202	0.000411269	0	0.000422852	0.00182913	0.000420248	0	0.000235963	0.000748727	0.00150339	0.000119894	0	0.000485139	0.000818089	0.000528263	0.00118527	0.000660573	0	0.00271562	0.000454609	0.000134138	0.000513741	0.0025311	0.000168173	9.23241e-05	0.000315319	0	0	0.00192868	0.00170734	0.000332064	0.00150627	0.000178318	0.000676271	0.00142605	0.000470455	0.000440224	0.000680284	0.00357538	0	0.000485605	0.000369911	0.000781354	0	0.00118768	0.00237591	0	0.00129647	0	0	9.76928e-05	0.000797904	4.50737e-05	0.00155386	0	0.0016105	0.001223	0	0.000394342	0.000486059	0	0	2.24892e-05	0	4.95075e-05	0.000394846	0.000653115	0.000669668	0.00107059	0.000257969	0.000255781	0.00152664	0.000131519	0.000628542	0	0.000134217	0.00130822	0.000234471	0.00129394	0	0.000324229	0.000553336	0	0.000364878	0.000110744	0	0	0.00112701	0.000294829	0.00171014	0.000708772	0.000876699	0.000147563	0	0.000377728	0.000436343	0.00226841	0	0	0.000373944	0.00191261	0.000135964	0.000510149	7.16739e-05	0.000150956	0.00288138	0.000823744	0.000388363	0.000486877	0	0.00103835	0.0015541	0.00103054	0.000261403	0.00069802	0.000354042	0.00137105	0.000555698	0.000168006	0.0020187	0.000152846	0	0.00047938	0	0	0	0.000268669	0.000238463	0	0	0.00289037	0.00264888	0.00135147	0	0	0.000268728	0.0015241	0.000218286	0.00215126	0.000911893	0	0.000146184	0.000333205	0.00211723	8.57582e-05	0.000241755	0	0.000402194	0.00108496	0	0.000240687	0.000181693	0.00011547	0.000133624	0	0.0017418	0	0.0016641	0.000181802	0.000196278	6.21306e-05	0.00097851	0.000738294	0.00178358	0	0.000714238	5.56426e-05	0	6.23832e-05	0.00212603	0.000479084
PWY-5850: superpathway of menaquinol-6 biosynthesis	0.000141704	0	0	0.00181667	0.000243125	0.00189561	0.00255588	0.00168225	0.000674297	0	0	0	0	0	0	0.0013679	0	0	0	0	0	0.000528646	0	0	0	0	0	0.000200019	0	0.000422852	0.00179255	0.000257848	0	0.000235963	0	0.00150339	6.64594e-05	0	0.000485139	2.09316e-05	0.000528263	0.000445068	0.000221123	0	0.00271562	0	0	0.000513741	0.0025311	0	0	0.000315319	0	0	0.00192868	0.00116974	0	0.00150627	0	0.000676271	0.00142605	0.000470455	0.000291178	0.000296557	0.00357538	0	0.000485605	3.49063e-05	0.000739621	0	0.000424935	0.00237591	0	0	0	0	0	0.000797904	0	0.00155386	0	0.0016105	0.000808585	0	0.000394342	0.000347466	0	0	2.24892e-05	0	0	0.00030138	0.000653115	0.000669668	0	0	0.000254561	0.00152664	0	0	0	0.000134217	0.000912603	0.000133465	0.00129394	0	0	0.000169502	0	0	5.51558e-05	0	0	0.00112701	0.000294829	0.00106981	0.000708772	0.000712647	9.15234e-05	0	0.000169867	0.000243226	0.00226841	0	0	0.000373944	0.00191261	0	0.000510149	0	9.81101e-05	0.00277711	0.000823744	0.000358519	0	0	0.00103835	0.000994644	0.00103054	0.000201698	0.00069802	0.00017654	0.000638601	0.000187384	0	0.0020187	0	0	0.000443601	0	0	0	3.6082e-05	0	0	0	0.00289037	0.00264888	0.000626297	0	0	0	0.0015241	0.000106055	0.00215126	0.000230633	0	0.000146184	0	0.00211723	0	0	0	0.000125887	0.000451222	0	0.00013349	0	7.08073e-05	0	0	0.0017418	0	0.0016641	0.00011309	0.000196278	6.21306e-05	0.000634766	0.000134556	0.00152545	0	0.000262949	0	0	6.23832e-05	0.00152433	0.000245258
