ko	name	level1	level2	level3	_feature_id
K01919	gshA; glutamate--cysteine ligase [EC:6.3.2.2]	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01919
K01920	gshB; glutathione synthase [EC:6.3.2.3]	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01920
K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	09100 Metabolism	09106 Metabolism of other amino acids	00473 D-Alanine metabolism [PATH:ko00473]	K01921
K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01923
K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	09100 Metabolism	09106 Metabolism of other amino acids	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	K01924
K01925	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	09100 Metabolism	09106 Metabolism of other amino acids	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	K01925
K01926	rex; redox-sensing transcriptional repressor	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K01926
K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01928
K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01929
K01932	capB, pgsB; gamma-polyglutamate synthase [EC:6.3.2.-]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K01932
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01933
K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00670 One carbon pool by folate [PATH:ko00670]	K01934
K01935	bioD; dethiobiotin synthetase [EC:6.3.3.3]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00780 Biotin metabolism [PATH:ko00780]	K01935
K01937	pyrG, CTPS; CTP synthase [EC:6.3.4.2]	09100 Metabolism	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K01937
K01938	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]	09100 Metabolism	09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	K01938
K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01939
K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	09100 Metabolism	09105 Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K01940
K01941	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:ko00220]	K01941
K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01945
K01950	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]	K01950
K01951	guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01951
K01952	purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01952
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	09100 Metabolism	09105 Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K01953
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	09100 Metabolism	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K01955
K01956	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	09100 Metabolism	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K01956
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01958
K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01960
K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K01961
K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K01962
K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K01963
K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	09120 Genetic Information Processing	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	K01972
K01974	RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K01974
K01975	thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03016 Transfer RNA biogenesis [BR:ko03016]	K01975
K01989	ABC.X4.S; putative ABC transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K01989
K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K01990
K01991	wza, gfcE; polysaccharide biosynthesis/export protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02026 Biofilm formation - Escherichia coli [PATH:ko02026]	K01991
K01992	ABC-2.P; ABC-2 type transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K01992
K01993	ABC-2.TX; HlyD family secretion protein	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99992 Structural proteins	K01993
K01995	livG; branched-chain amino acid transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K01995
K01996	livF; branched-chain amino acid transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K01996
K01997	livH; branched-chain amino acid transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K01997
K01998	livM; branched-chain amino acid transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K01998
K01999	livK; branched-chain amino acid transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K01999
K02000	proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02000
K02001	proW; glycine betaine/proline transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02001
K02002	proX; glycine betaine/proline transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02002
K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02003
K02004	ABC.CD.P; putative ABC transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02004
K02005	ABC.CD.TX; HlyD family secretion protein	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99992 Structural proteins	K02005
K02006	cbiO; cobalt/nickel transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02006
K02007	cbiM; cobalt/nickel transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02007
K02008	cbiQ; cobalt/nickel transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02008
K02009	cbiN; cobalt/nickel transport protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02009
K02010	afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02010
K02011	afuB, fbpB; iron(III) transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02011
K02012	afuA, fbpA; iron(III) transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02012
K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02013
K02014	TC.FEV.OM; iron complex outermembrane recepter protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02014
K02015	ABC.FEV.P; iron complex transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02015
K02016	ABC.FEV.S; iron complex transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02016
K02017	modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02017
K02018	modB; molybdate transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02018
K02019	modE; molybdate transport system regulatory protein	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02019
K02020	modA; molybdate transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02020
K02022	ABC.MR.TX; HlyD family secretion protein	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99992 Structural proteins	K02022
K02024	lamB; maltoporin	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02024
K02025	ABC.MS.P; multiple sugar transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02025
K02026	ABC.MS.P1; multiple sugar transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02026
K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02027
K02028	ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02028
K02029	ABC.PA.P; polar amino acid transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02029
K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02030
K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02031
K02032	ABC.PE.A1; peptide/nickel transport system ATP-binding protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02032
K02033	ABC.PE.P; peptide/nickel transport system permease protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02033
K02034	ABC.PE.P1; peptide/nickel transport system permease protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02034
K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02035
K02036	pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02036
K02037	pstC; phosphate transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02037
K02038	pstA; phosphate transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02038
K02039	phoU; phosphate transport system protein	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99994 Others	K02039
K02040	pstS; phosphate transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02040
K02041	phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02041
K02042	phnE; phosphonate transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02042
K02043	phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02043
K02044	phnD; phosphonate transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02044
K02045	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]	09100 Metabolism	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K02045
K02046	cysU; sulfate transport system permease protein	09100 Metabolism	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K02046
K02047	cysW; sulfate transport system permease protein	09100 Metabolism	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K02047
K02048	cysP, sbp; sulfate transport system substrate-binding protein	09100 Metabolism	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K02048
K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02049
K02050	ABC.SN.P; NitT/TauT family transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02050
K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02051
K02052	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02052
K02053	ABC.SP.P; putative spermidine/putrescine transport system permease protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02053
K02054	ABC.SP.P1; putative spermidine/putrescine transport system permease protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02054
K02055	ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein	09140 Cellular Processes	09145 Cellular community - prokaryotes	02024 Quorum sensing [PATH:ko02024]	K02055
K02056	ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02056
K02057	ABC.SS.P; simple sugar transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02057
K02058	ABC.SS.S; simple sugar transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02058
K02062	thiQ; thiamine transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02062
K02063	thiP; thiamine transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02063
K02064	thiB, tbpA; thiamine transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02064
K02065	mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02065
K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02066
K02067	mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02067
K02068	ABC.X2.A; putative ABC transport system ATP-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02068
K02069	ABC.X2.P; putative ABC transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02069
K02071	metN; D-methionine transport system ATP-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02071
K02072	metI; D-methionine transport system permease protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02072
K02073	metQ; D-methionine transport system substrate-binding protein	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02073
K02074	ABC.ZM.A; zinc/manganese transport system ATP-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02074
K02075	ABC.ZM.P; zinc/manganese transport system permease protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02075
K02077	ABC.ZM.S; zinc/manganese transport system substrate-binding protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02077
K02078	acpP; acyl carrier protein	09100 Metabolism	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	K02078
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	K02079
K02080	agaI; galactosamine-6-phosphate isomerase [EC:5.3.1.-]	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	K02080
K02081	agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02081
K02082	agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K02082
K02083	allC; allantoate deiminase [EC:3.5.3.9]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K02083
K02086	dnaD; DNA replication protein	09190 Not Included in Pathway or Brite	09192 Unclassified: genetic information processing	99976 Replication and repair	K02086
K02099	araC; AraC family transcriptional regulator, arabinose operon regulatory protein	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02099
K02100	araE; MFS transporter, SP family, arabinose:H+ symporter	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02100
K02103	araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02103
K02106	atoE; short-chain fatty acids transporter	09130 Environmental Information Processing	09132 Signal transduction	02020 Two-component system [PATH:ko02020]	K02106
K02107	ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02107
K02108	ATPF0A, atpB; F-type H+-transporting ATPase subunit a	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02108
K02109	ATPF0B, atpF; F-type H+-transporting ATPase subunit b	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02109
K02110	ATPF0C, atpE; F-type H+-transporting ATPase subunit c	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02110
K02111	ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02111
K02112	ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02112
K02113	ATPF1D, atpH; F-type H+-transporting ATPase subunit delta	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02113
K02114	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02114
K02115	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02115
K02116	atpI; ATP synthase protein I	09180 Brite Hierarchies	09181 Protein families: metabolism	00194 Photosynthesis proteins [BR:ko00194]	K02116
K02117	ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02117
K02118	ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02118
K02119	ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02119
K02120	ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02120
K02121	ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02121
K02122	ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02122
K02123	ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02123
K02124	ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02124
K02128	ATPeF0C, ATP5G, ATP9; F-type H+-transporting ATPase subunit c	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02128
K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K02160
K02167	betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03000 Transcription factors [BR:ko03000]	K02167
K02168	betT, betS; choline/glycine/proline betaine transport protein	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02168
K02169	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00780 Biotin metabolism [PATH:ko00780]	K02169
K02170	bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00780 Biotin metabolism [PATH:ko00780]	K02170
K02171	blaI; BlaI family transcriptional regulator, penicillinase repressor	09160 Human Diseases	09175 Drug resistance: Antimicrobial	01501 beta-Lactam resistance [PATH:ko01501]	K02171
K02173	yggC; putative kinase	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99987 Cofactor metabolism	K02173
K02182	caiC; carnitine-CoA ligase [EC:6.2.1.48]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K02182
K02188	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K02188
K02189	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K02189
K02190	cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K02190
K02192	bfd; bacterioferritin-associated ferredoxin	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99994 Others	K02192
K02193	ccmA; heme exporter protein A [EC:3.6.3.41]	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02193
K02194	ccmB; heme exporter protein B	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02194
K02195	ccmC; heme exporter protein C	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02195
K02196	ccmD; heme exporter protein D	09130 Environmental Information Processing	09131 Membrane transport	02010 ABC transporters [PATH:ko02010]	K02196
K02197	ccmE; cytochrome c-type biogenesis protein CcmE	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99992 Structural proteins	K02197
K02198	ccmF; cytochrome c-type biogenesis protein CcmF	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:ko02000]	K02198
K02199	ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03110 Chaperones and folding catalysts [BR:ko03110]	K02199
K02200	ccmH; cytochrome c-type biogenesis protein CcmH	09190 Not Included in Pathway or Brite	09193 Unclassified: signaling and cellular processes	99992 Structural proteins	K02200
K02203	thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	K02203
K02204	thrB2; homoserine kinase type II [EC:2.7.1.39]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K02204
