	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
GLUDEG-I-PWY: GABA shunt	GLUDEG-I-PWY: GABA shunt	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GLUDEG-I-PWY	 GABA shunt	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	GABA shunt
PWY-5022: 4-aminobutanoate degradation V	PWY-5022: 4-aminobutanoate degradation V	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5022	 4-aminobutanoate degradation V	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-aminobutanoate degradation V
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	COMPLETE-ARO-PWY	 superpathway of aromatic amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of aromatic amino acid biosynthesis
TRPSYN-PWY: L-tryptophan biosynthesis	TRPSYN-PWY: L-tryptophan biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	TRPSYN-PWY	 L-tryptophan biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-tryptophan biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle)	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis II (acetyl cycle)
PWY-5505: L-glutamate and L-glutamine biosynthesis	PWY-5505: L-glutamate and L-glutamine biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-5505	 L-glutamate and L-glutamine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-glutamate and L-glutamine biosynthesis
DAPLYSINESYN-PWY: L-lysine biosynthesis I	DAPLYSINESYN-PWY: L-lysine biosynthesis I	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	DAPLYSINESYN-PWY	 L-lysine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis I
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	HOMOSER-METSYN-PWY: L-methionine biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	HOMOSER-METSYN-PWY	 L-methionine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	L-methionine biosynthesis I
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	METSYN-PWY	 superpathway of L-homoserine and L-methionine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-homoserine and L-methionine biosynthesis
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5345	 superpathway of L-methionine biosynthesis (by sulfhydrylation)	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-5347	 superpathway of L-methionine biosynthesis (transsulfuration)	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-6549: L-glutamine biosynthesis III	PWY-6549: L-glutamine biosynthesis III	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-6549	 L-glutamine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis	L-glutamine biosynthesis III
PWY-6936: seleno-amino acid biosynthesis (plants)	PWY-6936: seleno-amino acid biosynthesis (plants)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6936	 seleno-amino acid biosynthesis (plants)	Biosynthesis	Amino Acid Biosynthesis	seleno-amino acid biosynthesis
P42-PWY: incomplete reductive TCA cycle	P42-PWY: incomplete reductive TCA cycle	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	P42-PWY	 incomplete reductive TCA cycle	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	incomplete reductive TCA cycle
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY0-1241	 ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	OANTIGEN-PWY	 O-antigen building blocks biosynthesis (E. coli)	Biosynthesis	Carbohydrate Biosynthesis	O-antigen building blocks biosynthesis (E. coli)
COLANSYN-PWY: colanic acid building blocks biosynthesis	COLANSYN-PWY: colanic acid building blocks biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	COLANSYN-PWY	 colanic acid building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	colanic acid building blocks biosynthesis
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	UDPNAGSYN-PWY	 UDP-N-acetyl-D-glucosamine biosynthesis I	Biosynthesis	Carbohydrate Biosynthesis	UDP-N-acetyl-D-glucosamine biosynthesis I
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	PWY-7315: dTDP-N-acetylthomosamine biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7315	 dTDP-N-acetylthomosamine biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	dTDP-N-acetylthomosamine biosynthesis
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-7328	 superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7332	 superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-6527: stachyose degradation	PWY-6527: stachyose degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6527	 stachyose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	stachyose degradation
PWY-6901: superpathway of glucose and xylose degradation	PWY-6901: superpathway of glucose and xylose degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6901	 superpathway of glucose and xylose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	superpathway of glucose and xylose degradation
FUCCAT-PWY: fucose degradation	FUCCAT-PWY: fucose degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	FUCCAT-PWY	 fucose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	fucose degradation
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GLUCOSE1PMETAB-PWY	 glucose and glucose-1-phosphate degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	glucose and glucose-1-phosphate degradation
GLYCOCAT-PWY: glycogen degradation I	GLYCOCAT-PWY: glycogen degradation I	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GLYCOCAT-PWY	 glycogen degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation	glycogen degradation I (bacterial)
LACTOSECAT-PWY: lactose and galactose degradation I	LACTOSECAT-PWY: lactose and galactose degradation I	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	LACTOSECAT-PWY	 lactose and galactose degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation	lactose and galactose degradation I
PWY-2723: trehalose degradation V	PWY-2723: trehalose degradation V	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-2723	 trehalose degradation V	Degradation/Utilization/Assimilation	Carbohydrate Degradation	trehalose degradation V
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-5384	 sucrose degradation IV (sucrose phosphorylase)	Degradation/Utilization/Assimilation	Carbohydrate Degradation	sucrose degradation IV (sucrose phosphorylase)
PWY-6572: chondroitin sulfate degradation I (bacterial)	PWY-6572: chondroitin sulfate degradation I (bacterial)	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-6572	 chondroitin sulfate degradation I (bacterial)	Degradation/Utilization/Assimilation	Carbohydrate Degradation	chondroitin sulfate degradation I (bacterial)
PWY-6731: starch degradation III	PWY-6731: starch degradation III	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-6731	 starch degradation III	Degradation/Utilization/Assimilation	Carbohydrate Degradation	starch degradation III
PWY66-422	PWY66-422	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY66-422		Degradation	Carbohydrates-Degradation	D-galactose degradation V (Leloir pathway)
GALACTARDEG-PWY: D-galactarate degradation I	GALACTARDEG-PWY: D-galactarate degradation I	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GALACTARDEG-PWY	 D-galactarate degradation I	Degradation/Utilization/Assimilation	Carboxylate Degradation	D-galactarate degradation I
P441-PWY: superpathway of N-acetylneuraminate degradation	P441-PWY: superpathway of N-acetylneuraminate degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	P441-PWY	 superpathway of N-acetylneuraminate degradation	Degradation/Utilization/Assimilation	Carboxylate Degradation	superpathway of N-acetylneuraminate degradation
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	P461-PWY	 hexitol fermentation to lactate, formate, ethanol and acetate	Degradation/Utilization/Assimilation	Carboxylate Degradation	hexitol fermentation to lactate, formate, ethanol and acetate
TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis	TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	TEICHOICACID-PWY	 poly(glycerol phosphate) wall teichoic acid biosynthesis	Biosynthesis	Cell Structure Biosynthesis	teichoic acid (poly-glycerol) biosynthesis
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6470	 peptidoglycan biosynthesis V (&beta;-lactam resistance)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6471	 peptidoglycan biosynthesis IV (Enterococcus faecium)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis IV (Enterococcus faecium)
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	BIOTIN-BIOSYNTHESIS-PWY	 biotin biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	biotin biosynthesis I
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	HEME-BIOSYNTHESIS-II	 heme b biosynthesis I (aerobic)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	heme biosynthesis I (aerobic)
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	HEMESYN2-PWY	 heme b biosynthesis II (oxygen-independent)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	heme biosynthesis II (anaerobic)
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	NAD-BIOSYNTHESIS-II	 NAD salvage pathway III (to nicotinamide riboside)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD salvage pathway II
PWY-4041: &gamma;-glutamyl cycle	PWY-4041: &gamma;-glutamyl cycle	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-4041	 &gamma;-glutamyl cycle	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	&gamma;-glutamyl cycle
PWY-5005: biotin biosynthesis II	PWY-5005: biotin biosynthesis II	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5005	 biotin biosynthesis II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	biotin biosynthesis II
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5837	 2-carboxy-1,4-naphthoquinol biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5838: superpathway of menaquinol-8 biosynthesis I	PWY-5838: superpathway of menaquinol-8 biosynthesis I	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5838	 superpathway of menaquinol-8 biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-8 biosynthesis I
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5861	 superpathway of demethylmenaquinol-8 biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-8 biosynthesis
PWY-5897: superpathway of menaquinol-11 biosynthesis	PWY-5897: superpathway of menaquinol-11 biosynthesis	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5897	 superpathway of menaquinol-11 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-11 biosynthesis
PWY-5898: superpathway of menaquinol-12 biosynthesis	PWY-5898: superpathway of menaquinol-12 biosynthesis	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5898	 superpathway of menaquinol-12 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-12 biosynthesis
PWY-5899: superpathway of menaquinol-13 biosynthesis	PWY-5899: superpathway of menaquinol-13 biosynthesis	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-5899	 superpathway of menaquinol-13 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-13 biosynthesis
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PHOSLIPSYN-PWY	 superpathway of phospholipid biosynthesis I (bacteria)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of phospholipid biosynthesis I (bacteria)
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY4FS-7	 phosphatidylglycerol biosynthesis I (plastidic)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY4FS-8	 phosphatidylglycerol biosynthesis II (non-plastidic)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylglycerol biosynthesis II (non-plastidic)
FASYN-ELONG-PWY: fatty acid elongation -- saturated	FASYN-ELONG-PWY: fatty acid elongation -- saturated	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	FASYN-ELONG-PWY	 fatty acid elongation -- saturated	Biosynthesis	Fatty Acid and Lipid Biosynthesis	fatty acid elongation -- saturated
PWY-5989: stearate biosynthesis II (bacteria and plants)	PWY-5989: stearate biosynthesis II (bacteria and plants)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-5989	 stearate biosynthesis II (bacteria and plants)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	stearate biosynthesis II (bacteria and plants)
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6282	 palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7388	 octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-7664: oleate biosynthesis IV (anaerobic)	PWY-7664: oleate biosynthesis IV (anaerobic)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7664	 oleate biosynthesis IV (anaerobic)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	oleate biosynthesis IV (anaerobic)
PWY0-862: (5Z)-dodecenoate biosynthesis I	PWY0-862: (5Z)-dodecenoate biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY0-862	 (5Z)-dodecenoate biosynthesis I	Biosynthesis	Fatty Acid and Lipid Biosynthesis	(5Z)-dodec-5-enoate biosynthesis
CENTFERM-PWY: pyruvate fermentation to butanoate	CENTFERM-PWY: pyruvate fermentation to butanoate	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	CENTFERM-PWY	 pyruvate fermentation to butanoate	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to butanoate
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6590	 superpathway of Clostridium acetobutylicum acidogenic fermentation	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of Clostridium acetobutylicum acidogenic fermentation
PWY-6863: pyruvate fermentation to hexanol (engineered)	PWY-6863: pyruvate fermentation to hexanol (engineered)	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-6863	 pyruvate fermentation to hexanol (engineered)	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to hexanol
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	PWY-5304	 superpathway of sulfur oxidation (Acidianus ambivalens)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfur oxidation (Acidianus ambivalens)
PPGPPMET-PWY: ppGpp metabolism	PPGPPMET-PWY: ppGpp metabolism	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PPGPPMET-PWY	 ppGpp metabolism	Biosynthesis	Metabolic Regulator Biosynthesis	ppGpp biosynthesis
PWY0-1479: tRNA processing	PWY0-1479: tRNA processing	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY0-1479	 tRNA processing	Macromolecule Modification	Nucleic Acid Processing	tRNA processing
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6545	 pyrimidine deoxyribonucleotides de novo biosynthesis III	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7184	 pyrimidine deoxyribonucleotides de novo biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7198	 pyrimidine deoxyribonucleotides de novo biosynthesis IV	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis IV
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-7210	 pyrimidine deoxyribonucleotides biosynthesis from CTP	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-7211	 superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY66-409: superpathway of purine nucleotide salvage	PWY66-409: superpathway of purine nucleotide salvage	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY66-409	 superpathway of purine nucleotide salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotide salvage
PWY-6353: purine nucleotides degradation II (aerobic)	PWY-6353: purine nucleotides degradation II (aerobic)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6353	 purine nucleotides degradation II (aerobic)	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine nucleotides degradation II (aerobic)
PWY-6606: guanosine nucleotides degradation II	PWY-6606: guanosine nucleotides degradation II	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6606	 guanosine nucleotides degradation II	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	guanosine nucleotides degradation II
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	SALVADEHYPOX-PWY: adenosine nucleotides degradation II	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	SALVADEHYPOX-PWY	 adenosine nucleotides degradation II	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine nucleotides degradation II
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	PWY0-1297: superpathway of purine deoxyribonucleosides degradation	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	PWY0-1297	 superpathway of purine deoxyribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of purine deoxyribonucleosides degradation
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY0-1298	 superpathway of pyrimidine deoxyribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of pyrimidine deoxyribonucleosides degradation
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	PWY-6519: 8-amino-7-oxononanoate biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6519	 8-amino-7-oxononanoate biosynthesis I	Biosynthesis	Other Biosynthesis	8-amino-7-oxononanoate biosynthesis I
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	PWY-7115	 C4 photosynthetic carbon assimilation cycle, NAD-ME type	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, NAD-ME type
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	HEXITOLDEGSUPER-PWY	 superpathway of hexitol degradation (bacteria)	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	superpathway of hexitol degradation (bacteria)
PWY-6531: mannitol cycle	PWY-6531: mannitol cycle	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-6531	 mannitol cycle	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	mannitol cycle
PWY0-1261: anhydromuropeptides recycling I	PWY0-1261: anhydromuropeptides recycling I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY0-1261	 anhydromuropeptides recycling I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	anhydromuropeptides recycling
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	GLYCOLYSIS-E-D	 superpathway of glycolysis and the Entner-Doudoroff pathway	Generation of Precursor Metabolites and Energy	Superpathways	superpathway of glycolysis and Entner-Doudoroff
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	FUC-RHAMCAT-PWY	 superpathway of fucose and rhamnose degradation	Superpathways	Superpathways	superpathway of fucose and rhamnose degradation
