cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
136	Octanoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.017229941703644697
137	10-HAD	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.017229941703644697
138	2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540];99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.017229941703644697
139	Trigonelline	04122 Sulfur relay system [PATH:ko04122]	0.017229941703644697
140	Phenylacetaldehyde	03032 DNA replication proteins [BR:ko03032]	0.017229941703644697
141	N-Methylglutamate	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.017666265124209095
142	Adenine;Adenosine	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.017666265124209095
143	3 Hydroxybenzyl Alcohol;Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	03400 DNA repair and recombination proteins [BR:ko03400]	0.017666265124209095
144	Beta-hydroxyvaleric Acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.017666265124209095
145	Itaconate	00190 Oxidative phosphorylation [PATH:ko00190]	0.01783476817675242
146	Tridecanoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.018018493935091206
147	Homocysteine;Trigonelline	00190 Oxidative phosphorylation [PATH:ko00190]	0.01802427986269912
148	Adenosine Diphosphate Ribose	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.018085080475381238
149	Biotin	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.01825372299710431
150	trans-3-Hexenoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.018890719553090813
151	Biotin	99974 Translation	0.018925659852440897
152	N-Methylglutamate	01004 Lipid biosynthesis proteins [BR:ko01004]	0.01924931568773222
153	Homocysteine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00790 Folate biosynthesis [PATH:ko00790]	0.01924931568773222
154	Buthionine-sulfoximine	02026 Biofilm formation - Escherichia coli [PATH:ko02026];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.019365600063558606
155	Pyridoxine	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.019365600063558606
156	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	00785 Lipoic acid metabolism [PATH:ko00785]	0.019365600063558606
157	Nonanoic acid;Octanoic acid	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.019365600063558606
158	Indole-3-Pyruvate;Galactarate;Threitol	02022 Two-component system [BR:ko02022]	0.019402067045147662
159	Sn-Glycero-3-Phosphocholine	99996 General function prediction only	0.02023507345379536
160	Sn-Glycero-3-Phosphocholine	00500 Starch and sucrose metabolism [PATH:ko00500]	0.02029480307078467
161	Citramalate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.020607808538164775
162	N-Acetylserotonin	00785 Lipoic acid metabolism [PATH:ko00785]	0.020607808538164775
163	Galactarate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.020607808538164775
164	Uracil	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.020607808538164775
165	Itaconate	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.020727410466091275
166	Sn-Glycero-3-Phosphocholine	02026 Biofilm formation - Escherichia coli [PATH:ko02026]	0.021089757537672938
167	Sn-Glycero-3-Phosphocholine	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.021089757537672938
168	6-Carboxyhexanoate;Pyridoxine	00340 Histidine metabolism [PATH:ko00340]	0.021089757537672938
169	Cytidine	99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.021089757537672938
170	Paraxanthine	04122 Sulfur relay system [PATH:ko04122]	0.02124539194478336
171	Guanine;Hypoxanthine	99976 Replication and repair	0.021520410560153032
172	Indole-3-Pyruvate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.02152961787327212
173	Adenosine Diphosphate Ribose	03036 Chromosome and associated proteins [BR:ko03036]	0.021549551736406252
174	Suberate	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.021549551736406252
175	Diaminopimelate	99981 Carbohydrate metabolism	0.021549551736406252
176	6-Carboxyhexanoate	00785 Lipoic acid metabolism [PATH:ko00785]	0.021570397689700385
177	N-Methylglutamate	00590 Arachidonic acid metabolism [PATH:ko00590]	0.02168945256976525
178	Succinic Acid	01004 Lipid biosynthesis proteins [BR:ko01004]	0.02168945256976525
179	Thiopurine S-Methylether	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport	0.02168945256976525
180	6-Carboxyhexanoate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.02168945256976525
181	2,4-Dihydroxypteridine;Crotonic acid;Monoethylmalonate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.02168945256976525
182	Itaconate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.02168945256976525
183	Heptanoic acid;Nonanoic acid;Octanoic acid;Methyl Vanillate;Oxalate	03016 Transfer RNA biogenesis [BR:ko03016]	0.02168945256976525
184	Beta-hydroxyvaleric Acid	99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.02168945256976525
185	Aspartate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.02168945256976525
186	Sn-Glycero-3-Phosphocholine	02022 Two-component system [BR:ko02022]	0.02171283108586695
187	Mevalolactone	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.022016912653013594
188	2-Acetamido-2-Deoxy-Beta-D-Glucosylamine	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.022016912653013594
189	Xanthine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.022017318322036836
190	Biotin	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.022330524622553874
191	all-cis-4,7,10,13,16-Docosapentaenoic acid	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.02242409642450906
192	N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00680 Methane metabolism [PATH:ko00680]	0.022446502870218408
193	Tridecanoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.022446502870218408
194	Methyl Vanillate;Oxalate	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.022581209274036843
195	2-Methylmaleate	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908];04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.022638165950830062
196	Decanoic acid	03400 DNA repair and recombination proteins [BR:ko03400]	0.022638165950830062
197	2-Methylcitrate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.022638165950830062
198	4-Acetamidobutanoate	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.02287760298597787
199	Protoporphyrin	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.02328116994631839
200	Docosahexaenoic acid	99979 Unclassified viral proteins	0.02328116994631839
201	Tryptamine	00362 Benzoate degradation [PATH:ko00362]	0.02328116994631839
202	Pyridoxine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.02328116994631839
203	3 Hydroxybenzyl Alcohol	00680 Methane metabolism [PATH:ko00680]	0.02328116994631839
204	6-Hydroxynicotinate;3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	00190 Oxidative phosphorylation [PATH:ko00190]	0.02328116994631839
205	2-Methylcitrate	00785 Lipoic acid metabolism [PATH:ko00785]	0.02328116994631839
206	Indole-3-Acetate	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.02328116994631839
207	S-Adenosyl-L-methionine	01004 Lipid biosynthesis proteins [BR:ko01004]	0.02328116994631839
208	Biotin	02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	0.02380387792768622
209	3-Hydroxyanthranilate;Pyridoxal;6-Hydroxynicotinate;3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.02389773853594586
210	cis-7,10,13,16-Docosatetraenoic acid	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.024640575475212763
211	3-Hydroxyanthranilate;Pyridoxal;6-Hydroxynicotinate;3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.024672563482746945
212	Homocysteine	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.024672563482746945
213	Cytidine	99998 Others	0.02511417977525147
214	S-Adenosyl-L-methionine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.025237283288277568
215	Cortisone	03070 Bacterial secretion system [PATH:ko03070]	0.0258204648903835
216	Beta-hydroxyvaleric Acid	02022 Two-component system [BR:ko02022]	0.0258204648903835
217	N-Methylglutamate	00364 Fluorobenzoate degradation [PATH:ko00364]	0.025924880905735963
218	Glucosaminate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.02635646489377362
219	Sn-Glycero-3-Phosphocholine	05100 Bacterial invasion of epithelial cells [PATH:ko05100];01004 Lipid biosynthesis proteins [BR:ko01004];00710 Carbon fixation in photosynthetic organisms [PATH:ko00710];00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.02671735150394809
220	3-Methyladenine;Dehydroascorbate;2,4-Dihydroxypteridine;Crotonic acid;Monoethylmalonate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.02671735150394809
221	Azelate;Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	03400 DNA repair and recombination proteins [BR:ko03400]	0.02671735150394809
222	3,4-Dihydroxybenzoate	00785 Lipoic acid metabolism [PATH:ko00785]	0.02671735150394809
223	trans-3-Hexenoic acid	00340 Histidine metabolism [PATH:ko00340]	0.02717323881193003
224	trans-3-Hexenoic acid	03036 Chromosome and associated proteins [BR:ko03036]	0.02717323881193003
225	3-Hydroxyanthranilate;Pyridoxal;6-Hydroxynicotinate;3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	03019 Messenger RNA biogenesis [BR:ko03019]	0.027265268877390593
226	Tyramine	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.027697943529876624
227	N-Alpha-Acetyllysine	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.027697943529876624
228	cis-5-Dodecenoic acid	02022 Two-component system [BR:ko02022]	0.027697943529876624
229	Thiopurine S-Methylether	00190 Oxidative phosphorylation [PATH:ko00190]	0.027697943529876624
230	Biotin	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.02792623121674452
231	Guaiacol	00190 Oxidative phosphorylation [PATH:ko00190]	0.02792623121674452
232	Cytidine	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.028558086591293236
233	Glutarate	03110 Chaperones and folding catalysts [BR:ko03110];99996 General function prediction only	0.028665384592048124
234	N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00340 Histidine metabolism [PATH:ko00340]	0.028800820130389905
235	DHAP;Glyceraldehyde 3-phosphate	00965 Betalain biosynthesis [PATH:ko00965]	0.029077660588533432
236	Paraxanthine	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.029077660588533432
237	Glutarate	00440 Phosphonate and phosphinate metabolism [PATH:ko00440]	0.029077660588533432
238	Nonanoic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.029077660588533432
239	Uracil	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.029077660588533432
240	2-Methylmaleate	03400 DNA repair and recombination proteins [BR:ko03400]	0.029198674235997014
241	acetyl-carnitine	99998 Others	0.029240417472489715
242	Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.02927907690250717
243	Tyramine	00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.029356339291204014
244	Stachydrine	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.029356339291204014
245	Docosahexaenoic acid;Arachidonic acid;cis-7,10,13,16-Docosatetraenoic acid;5(Z),8(Z),11(Z)-Eicosatrienoic Acid;all-cis-4,7,10,13,16-Docosapentaenoic acid	00633 Nitrotoluene degradation [PATH:ko00633]	0.029356339291204014
246	acetyl-carnitine	05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.029356339291204014
247	Ribose phosphate	02010 ABC transporters [PATH:ko02010]	0.029367250624654694
248	Pyridoxine	00561 Glycerolipid metabolism [PATH:ko00561]	0.029367250624654694
249	Nonanoic acid;Octanoic acid	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport	0.029367250624654694
250	Homocysteine	02010 ABC transporters [PATH:ko02010]	0.029367250624654694
251	Octanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.02950710153052197
252	Carnitine	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.029509363783682498
253	Lithocholate	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.029555999544467353
254	Paraxanthine	99998 Others	0.029613556866492072
255	Gulonolactone	04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.030166194542661534
256	Xanthine	02010 ABC transporters [PATH:ko02010]	0.0303553874054645
257	Citrate	03110 Chaperones and folding catalysts [BR:ko03110]	0.03035620012508323
258	Indole-3-Acetamide	00340 Histidine metabolism [PATH:ko00340]	0.03035620012508323
259	3-Dehydroshikimate	03400 DNA repair and recombination proteins [BR:ko03400]	0.03035620012508323
260	trans-3-Hexenoic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.03041671965422032
261	Xanthurenate	00680 Methane metabolism [PATH:ko00680]	0.030533199557441743
262	NAD+	00680 Methane metabolism [PATH:ko00680];03030 DNA replication [PATH:ko03030]	0.03070491386314886
263	Tyramine	00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364]	0.03070491386314886
264	CMP;AMP;UMP	00590 Arachidonic acid metabolism [PATH:ko00590]	0.03070491386314886
265	Galactarate	99999 Others	0.03070491386314886
266	Thiopurine S-Methylether	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.03070491386314886
267	6-Carboxyhexanoate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.03070491386314886
268	N-Acetylglutamate;N-Methylglutamate	99996 General function prediction only	0.03093762530425681
269	Butyric acid	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.03093762530425681
270	AMP;UMP	00561 Glycerolipid metabolism [PATH:ko00561]	0.031078562951560796
271	N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate	00561 Glycerolipid metabolism [PATH:ko00561]	0.031217138512281008
272	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid	03036 Chromosome and associated proteins [BR:ko03036]	0.031217138512281008
273	Tyramine	00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.03132971660833512
274	Lithocholate	02022 Two-component system [BR:ko02022];03021 Transcription machinery [BR:ko03021]	0.03132971660833512
275	Lithocholate	00364 Fluorobenzoate degradation [PATH:ko00364]	0.03132971660833512
276	N-Methylglutamate	00071 Fatty acid degradation [PATH:ko00071]	0.03136958037183299
277	Pentadecanoic acid	00440 Phosphonate and phosphinate metabolism [PATH:ko00440];04122 Sulfur relay system [PATH:ko04122]	0.03136958037183299
278	Xanthine	03400 DNA repair and recombination proteins [BR:ko03400]	0.03164630177597926
279	6-Carboxyhexanoate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.03176130746210004
280	Biotin	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.031770589494984146
281	Crotonic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.031770589494984146
282	N-Methylglutamate	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.031784564420755154
283	Indole-3-Pyruvate;Galactarate;Threitol	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.031784564420755154
284	2-Hydroxypyridine;Picolinate	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.031784564420755154
285	Thiopurine S-Methylether	00561 Glycerolipid metabolism [PATH:ko00561]	0.03189893241227821
286	Suberate	00680 Methane metabolism [PATH:ko00680]	0.03189893241227821
287	3-Methoxytyrosine;Oxoadipate	00785 Lipoic acid metabolism [PATH:ko00785]	0.03189893241227821
288	Suberate	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.03197591081568173
289	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	03400 DNA repair and recombination proteins [BR:ko03400]	0.03197591081568173
290	3-Hydroxyanthranilate;Pyridoxal;6-Hydroxynicotinate;3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	00785 Lipoic acid metabolism [PATH:ko00785]	0.03197591081568173
291	Uridine	99976 Replication and repair	0.032253828565618654
292	DHAP;Glyceraldehyde 3-phosphate	00633 Nitrotoluene degradation [PATH:ko00633]	0.0324558008964184
293	Arachidic acid;Stearic acid	04146 Peroxisome [PATH:ko04146]	0.03253864550398392
294	Ribose phosphate	03036 Chromosome and associated proteins [BR:ko03036]	0.0327450623932912
295	Biotin	00785 Lipoic acid metabolism [PATH:ko00785]	0.0327450623932912
296	Diaminopimelate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540];99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.0327450623932912
297	Xanthine	00190 Oxidative phosphorylation [PATH:ko00190]	0.0327450623932912
298	Biotin	00600 Sphingolipid metabolism [PATH:ko00600]	0.0332883084708056
299	Acetoacetate;Phenylpyruvate	03400 DNA repair and recombination proteins [BR:ko03400]	0.03340347740508078
300	N-Acetyl-L-glutamine	03400 DNA repair and recombination proteins [BR:ko03400]	0.03346735383351315
301	Beta-hydroxyvaleric Acid	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.03346735383351315
302	Carnitine	99996 General function prediction only	0.03346735383351315
303	Deoxyguanosine monophosphate;CMP;AMP;UMP	00364 Fluorobenzoate degradation [PATH:ko00364]	0.03350725578462606
304	Xanthurenate	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.03360265219471314
305	Uridine	03070 Bacterial secretion system [PATH:ko03070]	0.033701177016541316
306	Homocysteine;Trigonelline	99977 Transport	0.03395204742608172
307	Tridecanoic acid	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.0340593593351346
308	3-Hydroxyoctanoic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.03430211147864494
309	Hypoxanthine	02022 Two-component system [BR:ko02022]	0.03433520001532341
310	Ascorbic acid	99974 Translation	0.034427253868842246
311	Gulonolactone	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.03455471567240273
312	Beta-hydroxyvaleric Acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.03475144183436608
313	3,4-Dihydroxybenzoate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.03500597833537891
314	Ureidopropionate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.03508682460292616
315	methyl-lysine	03070 Bacterial secretion system [PATH:ko03070]	0.03518921875417493
316	trans-3-Hexenoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.035276025515407185
317	4-Hydroxybenzoate	00310 Lysine degradation [PATH:ko00310]	0.035276025515407185
318	GMP	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.035320035658384076
319	Adenine;Adenosine	00561 Glycerolipid metabolism [PATH:ko00561]	0.03534456451000801
320	Pyridoxine	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.03534456451000801
321	Indole-3-Acetate	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.03534456451000801
322	Glycerol 3-phosphate	04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.03553213356946804
323	Thymidine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.035559290898435084
324	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid	00561 Glycerolipid metabolism [PATH:ko00561]	0.035872123428179435
325	4-Hydroxybenzoate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.035872123428179435
326	Citramalate	05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	0.03587311368492337
327	Indole-3-Pyruvate	99978 Cell growth	0.03600010155963183
328	Fructose-6-phosphate	00965 Betalain biosynthesis [PATH:ko00965]	0.03601832155082251
329	Galactarate	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.03601832155082251
330	3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	03016 Transfer RNA biogenesis [BR:ko03016]	0.03614034252268351
331	2,4-Dihydroxypteridine	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.036328403613885105
332	Beta-hydroxyvaleric Acid	99978 Cell growth	0.036581104423841646
333	Succinic Acid	01009 Protein phosphatases and associated proteins [BR:ko01009]	0.03661100090095284
334	Adenosine Diphosphate Ribose	00590 Arachidonic acid metabolism [PATH:ko00590]	0.036725715039103525
335	2 Deoxy D Glucose	03070 Bacterial secretion system [PATH:ko03070]	0.036725715039103525
336	Adenosine	04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.03679375059017134
337	Indole-3-Acetate	99996 General function prediction only	0.03679375059017134
338	Beta-hydroxyvaleric Acid	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	0.03697214227087928
339	Decanoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.037010946023587336
340	4-Hydroxybenzoate	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.037010946023587336
341	Paraxanthine	00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.037032759983430516
342	Mevalolactone	99998 Others	0.037107770443574176
343	Thiopurine S-Methylether	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.037107770443574176
344	Tricosanoic acid	00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.037107770443574176
345	Suberate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.037424350942260265
346	Glycochenodeoxycholate	03018 RNA degradation [PATH:ko03018]	0.037861654574407315
347	Suberate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.03819701739321265
348	3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	00785 Lipoic acid metabolism [PATH:ko00785]	0.03833547981420959
349	Cortisone	03032 DNA replication proteins [BR:ko03032];99976 Replication and repair	0.03846472104699341
350	N-Methylglutamate	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.03846472104699341
351	Adenine;Adenosine	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.039030523888945894
352	Arachidonic acid	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.039030523888945894
353	Biotin	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.039110966623020035
354	Biotin	00750 Vitamin B6 metabolism [PATH:ko00750]	0.03920949311569725
355	Xanthine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.03920949311569725
356	Guaiacol	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.03924030364283211
357	acetyl-carnitine	00364 Fluorobenzoate degradation [PATH:ko00364]	0.039318314472976144
